program,rank_in_program,rank_by_mean_score,cell_type,n_cells,n_expressing,prop_expressing,ci_low,ci_high,mean_score,median_score,prop_overall,enrichment
P01_HBB,30,30,HSPC,5,0,0.0,0.0,0.43448246478317476,-0.7027942403157552,-0.8473203531901041,0.15421659760331505,0.0
P02_HES4,1,1,CD16 Mono,436,435,0.9977064220183486,0.9871241594974174,0.9995950123688355,4.294063683775997,4.430100866099949,0.6373614066524806,1.5653699951154165
P02_HES4,2,2,Platelet,101,89,0.8811881188118812,0.8037294739391893,0.9307128055381483,0.6474503893233116,0.7940753256938585,0.6373614066524806,1.382556442254663
P02_HES4,3,8,CD4 Naive,1403,1077,0.7676407697790449,0.74482877151121,0.7889911520426048,0.1452110767453326,0.20029488398136852,0.6373614066524806,1.2044042230464054
P02_HES4,4,9,CD8 Naive,682,485,0.7111436950146628,0.6760204511458415,0.743901669769999,0.11028232516745068,0.148823160220719,0.6373614066524806,1.1157620897532814
P02_HES4,5,11,B memory,164,114,0.6951219512195121,0.6208677408665749,0.7604444834770631,0.06191756652712984,0.12143272904761943,0.6373614066524806,1.0906244776733482
P02_HES4,6,5,NK,1554,1078,0.6936936936936937,0.670320952265348,0.7161111821417833,0.29797281234088147,0.18204767135587308,0.6373614066524806,1.0883835865385683
P02_HES4,7,12,Treg,390,264,0.676923076923077,0.6289792103924724,0.7214155916510266,0.054713965432579954,0.17679971015117296,0.6373614066524806,1.0620710163145588
P02_HES4,8,3,CD14 Mono,4705,3152,0.6699256110520723,0.6563552117402166,0.6832187607503463,0.41175637500533185,0.3234906312784851,0.6373614066524806,1.0510922124554478
P02_HES4,9,13,CD4 TCM,4196,2646,0.6306005719733079,0.6158838514483328,0.6450783802802319,0.02952232749779441,0.09181474500219616,0.6373614066524806,0.9893924630380717
P02_HES4,10,14,B naive,908,566,0.6233480176211453,0.5913738458594252,0.6542828939533317,-0.011266984258981436,0.1338945150489279,0.6373614066524806,0.9780134333753658
P02_HES4,11,6,NK_CD56bright,119,73,0.6134453781512605,0.5237116509364024,0.6960838501851745,0.18698998764225802,0.18867724806397823,0.6373614066524806,0.9624765035165359
P02_HES4,12,7,NK Proliferating,27,15,0.5555555555555556,0.3731302451322448,0.72414141822977,0.1477654807638602,0.24719844841809024,0.6373614066524806,0.8716491926824032
P02_HES4,13,16,B intermediate,316,172,0.5443037974683544,0.4891883928300507,0.5983549797622342,-0.03402936175753338,0.025519945834506563,0.6373614066524806,0.8539955381470633
P02_HES4,14,15,CD8 TCM,133,72,0.5413533834586466,0.45669744370564014,0.6236875514179028,-0.017897460237197616,0.033930983090024736,0.6373614066524806,0.84936643136571
P02_HES4,15,17,gdT,219,117,0.5342465753424658,0.4681599339488621,0.5991524956115165,-0.051320745396080454,0.016068542624454007,0.6373614066524806,0.8382160729630781
P02_HES4,16,21,CD4 TEM,268,141,0.5261194029850746,0.4663928492982553,0.5851077571976596,-0.15003876430014393,0.022360637435147546,0.6373614066524806,0.8254647951596787
P02_HES4,17,19,MAIT,103,48,0.46601941747572817,0.3726437920092655,0.5618385702004485,-0.13981375987505235,-0.018003618210283512,0.6373614066524806,0.731169808230676
P02_HES4,18,4,Eryth,28,13,0.4642857142857143,0.2953156998279538,0.6418731076553209,0.38840176501653917,-0.10127436323024641,0.6373614066524806,0.7284496824560083
P02_HES4,19,18,cDC2,119,52,0.4369747899159664,0.35120979571275196,0.5266815925530388,-0.05849354851050456,-0.22625451924068418,0.6373614066524806,0.6855997011350666
P02_HES4,20,20,CD8 TEM,1574,642,0.4078780177890724,0.3838526365306656,0.4323519647752534,-0.14617314460360437,-0.09730216264155167,0.6373614066524806,0.6399477808537388
P02_HES4,21,10,HSPC,5,2,0.4,0.11762077423264783,0.769275718723987,0.09695081396417304,-0.051955408077176246,0.6373614066524806,0.6275874187313303
P02_HES4,22,23,CD4 CTL,258,101,0.39147286821705424,0.33392563122036933,0.452204494038564,-0.21516935187712402,-0.15693096333124168,0.6373614066524806,0.6142086171692281
P02_HES4,23,22,dnT,57,20,0.3508771929824561,0.2400042200916009,0.480581046443498,-0.1547956903178992,-0.2490000134726432,0.6373614066524806,0.5505152795888861
P02_HES4,24,24,ILC,10,3,0.3,0.10779126740630099,0.6032218525388546,-0.2551409638901959,-0.5268238539679793,0.6373614066524806,0.47069056404849763
P02_HES4,25,25,Plasmablast,13,3,0.23076923076923078,0.08179528718498569,0.5025637594672749,-0.32869484895224377,-0.3982533433479494,0.6373614066524806,0.3620696646526905
P02_HES4,26,26,cDC1,9,1,0.1111111111111111,0.019890887638544907,0.434999705576656,-0.4019946784940742,-0.4136267795097981,0.6373614066524806,0.1743298385364806
P02_HES4,27,27,pDC,44,1,0.022727272727272728,0.004023252060053224,0.11807709698213287,-0.4410089829792048,-0.4220902085930778,0.6373614066524806,0.03565837606428013
P02_HES4,28,28,ASDC,3,0,0.0,5.551115123125783e-17,0.5614970317550454,-0.47942966404073584,-0.4834507667898733,0.6373614066524806,0.0
P02_HES4,29,29,CD8 Proliferating,2,0,0.0,0.0,0.6576197724933469,-0.5523173797660277,-0.5523173797660277,0.6373614066524806,0.0
P02_HES4,30,30,CD4 Proliferating,12,0,0.0,2.7755575615628914e-17,0.24249400665524085,-0.7162015564902267,-0.7956240213606498,0.6373614066524806,0.0
P03_FCRL5,1,1,B naive,908,908,1.0,0.995787141740997,1.0,3.536620685444918,3.5146602551348796,0.13411356254899764,7.456367432150313
P03_FCRL5,2,2,B intermediate,316,316,1.0,0.9879894906843592,1.0,3.0007192097387483,3.001091868412959,0.13411356254899764,7.456367432150313
P03_FCRL5,3,3,B memory,164,164,1.0,0.9771125748805723,0.9999999999999999,2.190613018648512,2.1609326622702856,0.13411356254899764,7.456367432150313
P03_FCRL5,4,4,Plasmablast,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574435,0.761462273078484,0.746389611974939,0.13411356254899764,6.88280070660029
P03_FCRL5,5,5,pDC,44,38,0.8636363636363636,0.7329054695148456,0.9359704550244412,0.3301778780836986,0.33067809166846335,0.13411356254899764,6.439590055038907
P03_FCRL5,6,6,Eryth,28,14,0.5,0.32633127457293465,0.6736687254270654,0.1482938523283695,-0.0399861003826191,0.13411356254899764,3.7281837160751565
P03_FCRL5,7,7,ASDC,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,-0.1956415802266175,-0.18307673763919197,0.13411356254899764,2.485455810716771
